569 misere(9,56) 4.280 4
562 misere(2,56) 4.290 4
442 misere(2,44) 4.290 1
553 misere(3,55) 4.290 1
584 misere(4,58) 4.290 2
458 misere(8,45) 4.300 4
477 misere(7,47) 4.300 5
173 misere(3,17) 4.300 2
422 misere(2,42) 4.310 4
454 misere(4,45) 4.310 2
429 misere(9,42) 4.340 2
427 misere(7,42) 4.350 3
457 misere(7,45) 4.350 3
544 misere(4,54) 4.360 4
577 misere(7,57) 4.360 2
439 misere(9,43) 4.360 3
171 misere(1,17) 4.360 4
472 misere(2,47) 4.400 4
449 misere(9,44) 4.410 1
387 misere(7,38) 4.450 1
169 misere(9,16) 4.470 1
460 misere(0,46) 4.470 5
4 misere(4,0) 4.510 2
5 misere(5,0) 4.680 4
2 misere(2,0) 4.760 1
468 misere(8,46) 4.990 1
466 misere(6,46) 5.000 2
463 misere(3,46) 5.130 3
464 misere(4,46) 5.200 4
